,ECM001,ECM002,ECM003,ECM005,ECM006,ECM007,ECM008,ECM009,ECM011,ECM012,ECM013,ECM015,ECM016,ECM017,ECM018,ECM019,ECM020,ECM021,ECM022,ECM023,ECM024,ECM025,ECM027,ECM028,ECM029,ECM030,ECM032,ECM033,ECM035,ECM036,ECM038,ECM039,ECM040,ECM041,ECM042,ECM043,ECM044,ECM045,ECM046,ECM047,ECM048,ECM049,ECM050,ECM051,ECM052,ECM053,ECM054,ECM055,ECM056,ECM057,ECM058,ECM059,ECM060,ECM061,ECM062,ECM063,ECM065,ECM066,ECM067,ECM068,ECM070,ECM071,ECM072,ECM073,ECM074,ECM075,ECM076,ECM077,ECM078,ECM080,ECM081,ECM082,ECM083,ECM084,ECM085,Kingdom,Phylum,Class,Order,Family,Genus,Species,Genus,taxonomy,primary_lifestyle,Lifestyle,Secondary_lifestyle,Comment_on_lifestyle_template,Endophytic_interaction_capability_template,Plant_pathogenic_capacity_template,Decay_substrate_template,Decay_type_template,Aquatic_habitat_template,Animal_biotrophic_capacity_template,Specific_hosts,Growth_form_template,Fruitbody_type_template,Hymenium_type_template,Ectomycorrhiza_exploration_type_template,Ectomycorrhiza_lineage_template,primary_photobiont,secondary_photobiont
ASV_21,296,0,350,281,591,0,0,0,87,0,0,0,0,0,143,0,0,872,0,172,177,455,265,262,0,1172,2384,886,0,0,458,0,0,0,424,0,453,0,171,0,0,0,0,264,142,0,2435,504,0,0,195,342,0,0,0,170,0,1443,429,0,327,426,376,0,2200,0,0,0,617,104,0,0,0,441,0,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiales_fam_Incertae_sedis,g__Mycoarthris,s__corallina,Mycoarthris,k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Mycoarthris;s__corallina,litter_saprotroph,Saprotroph,0,0,0,0,leaf/fruit/seed,0,non-aquatic,0,0,filamentous_mycelium,none,none,0,0,0,0
ASV_22,0,1747,0,1190,313,0,0,0,0,0,0,696,115,474,10,0,0,318,132,0,0,522,891,504,12,0,107,0,0,0,882,231,0,0,0,0,0,0,0,0,0,0,0,0,302,0,0,0,0,72,0,0,0,1492,0,0,585,0,0,0,0,852,915,0,0,0,499,407,1313,290,0,0,0,283,0,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Clavicipitaceae,g__Metarhizium,s__anisopliae,Metarhizium,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Clavicipitaceae;g__Metarhizium;s__anisopliae,animal_parasite,Other,animal_decomposer,0,0,0,animal_material,0,partly_aquatic,animal_parasite,0,filamentous_mycelium,0,0,0,0,0,0
ASV_23,0,240,0,947,0,0,0,0,0,0,0,0,0,0,0,0,0,7595,0,0,0,0,0,0,320,2998,0,0,2369,0,0,376,0,970,0,0,779,0,0,0,0,2896,0,0,0,0,1969,0,0,0,615,0,0,1415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Inocybaceae,g__Inosperma,s__rhodiolum,Inosperma,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inosperma;s__rhodiolum,ectomycorrhizal,Ectomycorrhizal,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ASV_24,0,0,0,0,0,1785,0,0,0,0,744,0,0,0,0,0,0,0,0,0,13809,0,0,0,0,0,0,0,0,0,0,709,0,0,489,0,467,0,0,0,0,0,0,0,0,0,0,0,483,0,0,453,438,0,0,505,0,428,0,0,0,0,0,0,3432,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,NA,NA,NA,NA,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__NA;g__NA;s__NA,#N/A,Unassigned,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ASV_25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,673,0,0,0,0,1936,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Cystofilobasidiales,f__Mrakiaceae,g__Tausonia,s__pullulans,Tausonia,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Cystofilobasidiales;f__Mrakiaceae;g__Tausonia;s__pullulans,soil_saprotroph,Saprotroph,0,0,0,0,soil,0,partly_aquatic,0,0,yeast,none,none,0,0,0,0
ASV_26,0,0,0,0,0,0,0,0,0,1599,0,0,79,0,0,0,0,0,0,0,0,0,0,0,2275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6573,761,0,0,2956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Inocybaceae,g__Inosperma,s__acutofulvum,Inosperma,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inosperma;s__acutofulvum,ectomycorrhizal,Ectomycorrhizal,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ASV_27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19256,0,0,0,0,0,0,0,0,0,0,0,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Inocybaceae,g__Inosperma,s__acutofulvum,Inosperma,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inosperma;s__acutofulvum,ectomycorrhizal,Ectomycorrhizal,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ASV_28,0,0,406,2186,0,0,0,0,0,0,0,0,2240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1550,513,0,1255,3257,0,0,0,0,1650,3200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,485,0,0,369,0,0,0,0,0,0,0,0,0,0,0,203,2057,0,0,863,0,0,0,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Inocybaceae,NA,NA,NA,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__NA;s__NA,ectomycorrhizal,Ectomycorrhizal,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ASV_29,388,0,0,0,0,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,141,106,0,612,0,0,1417,0,0,0,0,0,0,0,0,0,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Glomerellales,f__Glomerellales_fam_Incertae_sedis,g__Glomerellales_gen_Incertae_sedis,NA,Glomerellales_gen_Incertae_sedis,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Glomerellales_fam_Incertae_sedis;g__Glomerellales_gen_Incertae_sedis;s__NA,#N/A,Unassigned,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ASV_30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21861,0,0,0,0,0,0,0,0,0,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Inocybaceae,g__Inocybaceae_gen_Incertae_sedis,NA,Inocybaceae_gen_Incertae_sedis,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybaceae_gen_Incertae_sedis;s__NA,ectomycorrhizal,Ectomycorrhizal,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ASV_31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439,0,0,0,74,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Hymenogastraceae,g__Hymenogaster,NA,Hymenogaster,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Hymenogastraceae;g__Hymenogaster;s__NA,ectomycorrhizal,Ectomycorrhizal,0,0,0,0,0,0,non-aquatic,0,0,filamentous_mycelium,gasteroid-hypogeous,closed,short-distance_delicate,/hebeloma-alnicola,0,0
