Sample_ID,pH,dw,ppmC,ppmN,MBC,MBN,NH4,NO3,pct_POM,pct_MAOM_C,pct_MAOM_N,MAOM_CN,pct_POM_C,pct_POM_N,POM_CN,bulk_pctC,bulk_pctN,bulk_CN,Al-conc,Ca-conc,Fe-conc,K-conc,Mg-conc,Mn-conc,Na-conc,CEC,Pct_base_sat
ECM013,6.74,0.632367632,28.96308158,10.3468658,88.96764702,2.114823269,1.243448556,6.497688957,0.068754722,0.970335622,1.080893016,12.41447764,0.148374153,0.093687313,21.90008836,7.630341325,0.551793034,13.82826751,16.16998639,11624.94195,4.653958268,142.4053,2095.587586,2.405789044,9.625116403,75.87531293,99.71855304
ECM015,6.84,0.516483516,41.62472898,15.74038003,375.0348029,4.005161063,1.529263372,6.603346203,0.084522812,0.933302877,0.944937583,12.86050127,0.3997483,0.284724983,18.28062296,9.435545577,0.724658403,13.02056482,8.466629961,7850.632604,2.185857954,107.1282243,1217.73246,7.574017008,-9.920578287,49.60464648,99.73096583
ECM016,6.97,0.562437562,52.63558412,17.14677071,459.2010221,4.458788616,2.221460814,10.04607661,0.082644573,0.954511542,1.017039507,12.37153508,0.200001064,0.134824504,19.55440827,10.42897898,0.791154608,13.18267595,18.67429528,9582.516317,-0.328490071,159.8249838,1662.043292,1.075984026,31.15279777,62.2517242,99.66016809
ECM017,6.33,0.602955665,20.96556195,6.503667106,239.2496255,5.051682256,1.517011472,2.628161521,0.116997913,0.936465561,1.114482743,10.48,0.111157508,0.068826602,20.14266022,6.497050259,0.520922848,12.47229897,3.846196984,9616.233131,-2.463775478,185.8695527,1469.261282,4.278446388,-13.90720905,60.61151828,99.90374716
ECM018,6.43,0.688866799,28.32851415,10.16669333,311.4633834,4.341190616,2.101523375,6.510168429,0.089941726,0.962235048,0.975542129,12.35092776,0.148321149,0.088623223,20.95605064,7.908545859,0.631599618,12.52150492,11.90079816,9583.079804,0.398616853,201.7368442,1544.702439,1.838731555,9.541027487,61.23176214,99.76947131
ECM019,6.69,0.665668663,28.16492647,11.2183048,280.499432,4.022040657,1.566778246,7.189143265,0.08637931,0.926871344,0.996455815,11.61177703,0.06723459,0.044453879,18.88163696,7.13007667,0.571164884,12.48344284,21.63623713,10782.04974,0.311602695,248.5952578,1443.653867,1.540945621,13.48839556,66.62715207,99.62800329
ECM020,6.49,0.731343284,18.65580015,8.588318535,202.4666899,3.355702003,1.818779233,6.96805902,0.076057617,0.976087485,0.991540481,12.24826337,0.13930295,0.078871607,21.97672649,6.354841617,0.510725035,12.44278085,4.184607291,6647.807438,-1.929025439,119.9448348,1018.766752,1.471410734,1.314985619,41.92191539,99.8762364
ECM021,6.72,0.547972305,40.27293383,19.9228004,367.1110106,2.993644407,1.788726612,8.827563081,0.134924405,0.730087453,0.831097503,12.87339451,0.281703806,0.178224081,23.16302296,10.05336554,0.686026461,14.65444739,8.957607377,9559.712093,1.017056456,211.514268,1303.795755,2.376088946,23.28030664,59.19011168,99.80788889
ECM022,6.47,0.672,21.2191358,13.71681205,204.8715382,2.593207565,1.889489318,10.36722882,0.084125987,1.148432781,1.167307735,11.60825746,0.150428062,0.07568779,23.44290312,5.692729455,0.482471455,11.79939838,12.64542827,8253.75474,3.270717419,186.7512104,1365.251667,1.52885658,15.88981513,53.13328308,99.69183726
ECM023,6.67,0.600199402,35.05124427,16.11592843,276.8295485,3.101643861,2.940983641,21.00065266,0.087252798,0.987827886,1.025021372,12.72528795,0.189922833,0.121530861,20.63504326,9.148035285,0.692814346,13.20422939,20.24113273,7701.23219,20.6592074,168.6099274,1115.376339,6.795991193,13.68902042,48.46095133,99.25552959
ECM024,6.75,0.608391608,26.33949545,11.44637312,247.6084907,3.173008091,1.427543079,6.125888069,0.12006717,0.998628785,1.093026707,11.3484567,0.150062068,0.097141802,19.18719947,6.098245619,0.490977147,12.42069312,2.628946844,11079.82372,-1.248287679,161.3373951,1563.770875,1.252356432,23.00869133,68.70571254,99.95081971
ECM025,6.58,0.571996028,45.25461175,14.34913706,304.0168215,3.360908588,1.749837989,5.425179014,0.153164546,0.93822845,0.984755623,12.64992949,0.256134035,0.162602876,20.92118729,8.138407529,0.612968524,13.27705565,24.5101242,6263.641437,-2.544217226,32.21670449,967.3005588,5.078948054,-11.56396598,39.59034925,99.26494513
ECM027,6.67,0.542,31.08047515,9.983093456,599.2781641,8.103021088,2.939676061,3.202863636,0.140682657,0.893760161,0.956775217,11.4448351,0.264301042,0.193690715,16.71850305,8.551803694,0.698045408,12.25133708,29.11681923,8586.975774,3.723484628,96.32721571,1559.194847,0.040348467,9.918333335,56.31496355,99.38934337
